"","datetime","RPT_ID","운용팀","제조사","중계기명","함체온도","시도명","시군구명","동명","temp","wind_direct","wind_speed","rain_fall","월"
"67",2016-07-20 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",31.5,91.4,1.7,NA,"16-07"
"68",2016-07-21 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",49,"경기도","성남시 분당구","구미동",29,82.3,2,NA,"16-07"
"69",2016-07-22 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",47,"경기도","성남시 분당구","구미동",32.3,103.8,1.1,NA,"16-07"
"70",2016-07-23 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",49,"경기도","성남시 분당구","구미동",31.3,140.2,1.9,NA,"16-07"
"71",2016-07-24 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",48,"경기도","성남시 분당구","구미동",29.7,238.9,0.3,NA,"16-07"
"72",2016-07-25 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",47,"경기도","성남시 분당구","구미동",30.6,280.5,0.6,NA,"16-07"
"73",2016-07-26 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",47,"경기도","성남시 분당구","구미동",30.4,187.1,1.4,NA,"16-07"
"74",2016-07-27 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",46,"경기도","성남시 분당구","구미동",29.2,203.6,1.4,NA,"16-07"
"75",2016-07-28 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",45,"경기도","성남시 분당구","구미동",30.4,231.7,1.5,NA,"16-07"
"76",2016-07-29 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",47,"경기도","성남시 분당구","구미동",24.5,114.4,1.1,2.5,"16-07"
"77",2016-08-09 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",49,"경기도","성남시 분당구","구미동",32.8,87.3,1.9,NA,"16-08"
"78",2016-08-13 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",47,"경기도","성남시 분당구","구미동",34,220.6,0.7,NA,"16-08"
